file,key,field,original,korean,status
Conversations.xml,conv:BaseConversation/node:WaterRitual,text,"Live and drink, =subject.waterRitualLiquid=-=player.siblingTerm=.","살고 마시게, =subject.waterRitualLiquid=-=player.siblingTerm=.",done
Conversations.xml,conv:BaseConversation/choice:WaterRitualChoice,text,"Your thirst is mine, my water is yours.","그대의 갈증이 나의 것이며, 나의 물은 당신의 것이니.",done
Conversations.xml,conv:BaseConversation/choice:WaterRitualChoice/if:SociallyRepugnant,text,"Swap spittle?~
        Let's get to it.~
        {{emote|licks lips}}~
        My thirst is mine, your water is yours.~
        Thirst. Water. Drink.~
        Slurp time.~
        ????~
        My water is thirst, your water is yours.","침을 섞어볼까?~
        그거 하자.~
        {{emote|입술을 핥는다}}~
        내 목마름은 내 것이고, 네 물은 네 것이다.~
        목마름. 물. 마신다.~
        쭈욱 들이킬 시간이다.~
        ????~
        내 물은 목마름이고, 네 물은 네 것이다.",done
Conversations.xml,conv:BaseConversation/choice:ShareGossipChoice,text,I have some gossip that may interest you.,흥미로워할 만한 소문이 하나 있습니다.,done
Conversations.xml,conv:BaseConversation/choice:ShareSecretListenerChoice,text,I have a secret to share with you.,당신과 나눌 비밀이 있습니다.,done
Conversations.xml,conv:BaseConversation/choice:ShareSecretSpeakerChoice,text,"Share a secret with me, =subject.waterRitualLiquid=-=pronouns.siblingTerm=.","비밀 하나 들려주십시오, =subject.waterRitualLiquid=-=pronouns.siblingTerm=.",done
Conversations.xml,conv:BaseConversation/choice:TinkeringRecipeChoice,text,Would you teach me to craft =recipe=?,=recipe= 만드는 법을 가르쳐 주시겠습니까?,done
Conversations.xml,conv:BaseConversation/choice:LearnSkillChoice,text,Would you teach me your ways?,당신의 길을 제게도 가르쳐 주시겠습니까?,done
Conversations.xml,conv:BaseConversation/choice:FungusColonizeChoice,text,I am a friend to fungi. Colonize me.,저는 균류의 벗입니다. 제게 정착해 주십시오.,done
Conversations.xml,conv:BaseConversation/choice:HermitOathChoice,text,"I promise not to bother you again, =hermit=.","다시는 당신을 번거롭게 하지 않겠다고 맹세하겠습니다, =hermit=.",done
Conversations.xml,conv:BaseConversation/choice:BuyValuedItemChoice,text,Would you gift me your =object.nameSingle=?,=object.nameSingle=? 그 물건을 제게 내어 주시겠습니까?,done
Conversations.xml,conv:BaseConversation/choice:BuyFactionItemChoice,text,Would you gift me your =object.nameSingle=?,=object.nameSingle=? 그 물건을 제게 내어 주시겠습니까?,done
Conversations.xml,conv:BaseConversation/choice:SkillPointChoice,text,Teach me to think like a child again.,다시 아이처럼 생각하는 법을 가르쳐 주십시오.,done
